nam,ma_to_hop,diem_chuan_tb,diem_chuan_std,so_nganh
2018,A00,24.01,3.25,3
2018,A01,25.35,3.12,5
2018,B00,28.44,,1
2018,B01,21.36,3.23,3
2018,C00,22.55,3.57,5
2018,C01,23.22,2.67,7
2018,D01,23.88,0.08,2
2018,D02,28.07,1.63,4
2019,A00,20.92,2.76,4
2019,A01,24.86,4.58,4
2019,B00,24.74,4.33,3
2019,B01,19.56,,1
2019,C00,24.18,1.97,3
2019,C01,24.89,4.29,5
2019,D01,24.03,3.43,9
2019,D02,25.79,,1
2020,A00,22.51,4.45,2
2020,A01,24.26,3.25,6
2020,B00,23.97,5.18,2
2020,B01,23.13,3.32,3
2020,C00,21.57,1.79,3
2020,C01,25.73,1.08,3
2020,D01,21.66,3.59,5
2020,D02,23.74,4.49,6
2021,A00,23.25,3.71,10
2021,A01,28.64,,1
2021,B00,23.47,2.86,4
2021,B01,23.06,4.55,4
2021,C00,23.5,4.45,4
2021,C01,21.99,,1
2021,D01,22.22,3.25,3
2021,D02,20.08,1.34,3
2022,A01,22.59,2.88,8
2022,B00,21.41,3.13,6
2022,B01,22.74,1.68,4
2022,C00,21.32,3.84,3
2022,C01,25.71,4.01,3
2022,D01,18.63,,1
2022,D02,25.09,2.6,5
2023,A00,25.3,4.25,5
2023,A01,24.16,3.52,5
2023,B00,23.31,3.78,5
2023,B01,23.87,3.4,3
2023,C01,23.06,3.7,6
2023,D01,27.19,2.14,5
2023,D02,25.52,,1
2024,A00,25.54,3.97,5
2024,A01,25.02,3.65,7
2024,B00,18.83,0.2,3
2024,B01,23.97,0.11,2
2024,C00,24.74,2.02,3
2024,C01,23.05,3.18,5
2024,D01,24.2,2.11,3
2024,D02,18.59,0.57,2
